brand,band_min,band_max,cupNum_min,cupNum_max,keywords,styles
Jessica,34,38,1,3,keywords,styles
Jessica Simpson,34,36,2,4,keywords,styles
Jeunique,26,46,1,12,keywords,styles
Jewels By Pour Moi?,30,36,4,6,keywords,styles
Jezebel,32,38,1,6,keywords,styles
Jockey,30,42,1,6,keywords,styles
Jodee,32,52,0,10,keywords,styles
Joe Boxer,32,36,1,3,keywords,styles
Joe Fresh,32,36,3,5,keywords,styles
John Lewis,28,38,0,7,keywords,styles
Jolinesse,34,38,2,3,keywords,styles
Jones New York,34,38,2,5,keywords,styles
Josie By Natori,30,38,1,6,keywords,styles
Journelle,30,36,1,8,keywords,styles
Jovita,30,42,1,5,keywords,styles
Just My Size,36,54,2,6,keywords,styles
Just Peachy,30,38,1,8,keywords,styles
Kajzar - Koronki Koniakowskie,30,38,1,5,keywords,styles
Kalyani,28,40,4,11,keywords,styles
Kappahl,32,42,1,5,keywords,styles
Kardashian Kollection Intimates,32,34,4,5,keywords,styles
Katherine Hamilton,24,38,4,9,keywords,styles
Katie Price,32,40,1,7,keywords,styles
Kayser,32,40,1,6,keywords,styles
Keia,30,38,4,8,keywords,styles
Kensie,32,36,1,6,keywords,styles
Kiabi,30,42,1,7,keywords,styles
Kiki De Montparnasse,32,36,1,5,keywords,styles
Kinga,30,48,1,13,keywords,styles
Kiss Me Deadly,32,38,2,5,keywords,styles
Knickerbox,32,38,1,8,keywords,styles
Konrad,28,44,1,13,keywords,styles
Kostar,28,52,1,12,keywords,styles
Kris Line,28,50,1,21,keywords,styles
L.e.i,32,38,1,3,keywords,styles
L'agent By Agent Provocateur,32,36,1,5,keywords,styles
La Isla,32,42,1,8,keywords,styles
La Leche League,32,44,2,7,keywords,styles
La Perla,30,38,1,5,keywords,styles
La Redoute,32,48,4,8,keywords,styles
La Senza,32,38,1,6,keywords,styles
La Vie En Rose,32,40,1,5,keywords,styles
Lady Cameo,26,52,2,14,keywords,styles
Lamaze,36,44,3,5,keywords,styles
Lara Intimates,26,36,1,9,keywords,styles
Lascana,34,36,3,3,keywords,styles
Lascivious,30,36,1,6,keywords,styles
Lauma,32,52,0,11,keywords,styles
Lavriel,34,54,2,12,keywords,styles
Le Mystere,30,44,1,8,keywords,styles
Le Vernis,30,42,2,10,keywords,styles
Leading Lady,34,50,1,7,keywords,styles
Lemax,30,42,1,8,keywords,styles
Leonisa,32,42,1,5,keywords,styles
Lepel,30,38,1,10,keywords,styles
Letters From Evie,30,40,4,7,keywords,styles
Lily Of France,32,38,1,5,keywords,styles
Lilyette,34,44,2,7,keywords,styles
Limited Collection,28,42,1,8,keywords,styles
Lindex,30,46,0,6,keywords,styles
Lingadore,30,42,1,7,keywords,styles
Lipsy,32,44,1,8,keywords,styles
Lisca,30,42,0,8,keywords,styles
Lise Charmel,30,40,1,7,keywords,styles
Livera,30,44,1,7,keywords,styles
Liz,30,42,1,6,keywords,styles
Liz Claiborne,36,38,2,5,keywords,styles
Lonely,30,36,1,6,keywords,styles
Lorna Drew,30,38,1,10,keywords,styles
Lou,30,36,4,4,keywords,styles
Louise Ferdinand,28,38,1,12,keywords,styles
Lovable,30,42,0,7,keywords,styles
Lovable India,30,44,1,4,keywords,styles
Love Fifi,34,38,7,7,keywords,styles
Love Haus,32,36,1,5,keywords,styles
Lula Lu Petites,30,38,-1,2,keywords,styles
Lulu Lemon,32,34,4,4,keywords,styles
Lulu Tout,30,38,1,8,keywords,styles
Lululemon,32,36,2,5,keywords,styles
Lunaire,32,48,3,8,keywords,styles
Lupoline,30,44,1,13,keywords,styles
Ma Mia,32,44,2,5,keywords,styles
Madamecomfort,34,42,2,6,keywords,styles
Made By Niki,30,36,3,5,keywords,styles
Made In Preston,26,38,5,10,keywords,styles
Mag's Magasin,28,34,2,5,keywords,styles
Maidenform,30,42,1,6,keywords,styles
Maidenform's Charmed,32,36,1,4,keywords,styles
Maison Lejaby,30,44,1,8,keywords,styles
Maison Lejaby Elixir,30,44,2,8,keywords,styles
Marianna Giordana,30,46,1,7,keywords,styles
Marie Jo,30,40,1,6,keywords,styles
Marie Jo Intense,30,40,1,8,keywords,styles
Marie Jo L'aventure,30,40,1,6,keywords,styles
Marie Meili,32,42,1,7,keywords,styles
Marilyn Monroe Intimates,30,38,2,24,keywords,styles
Marks & Spencer,28,46,0,11,keywords,styles
Marlies Dekkers,32,40,1,6,keywords,styles
Masquerade,28,38,4,8,keywords,styles
Mat Lingerie,30,42,1,9,keywords,styles
Matalan,30,42,1,7,keywords,styles
Material Girl,32,34,3,4,keywords,styles
Melinda G,34,42,3,6,keywords,styles
Melissa Dessous,28,46,2,14,keywords,styles
Midnight Grace,30,38,1,8,keywords,styles
Midnight Grace Maternity,30,38,2,7,keywords,styles
Mierside,30,46,3,8,keywords,styles
Milavitsa,26,44,0,11,keywords,styles
Milena,28,44,0,17,keywords,styles
Mimi Holliday,28,40,0,9,keywords,styles
Miobel,32,34,4,4,keywords,styles
Miriale,34,46,1,6,keywords,styles
Miss Mandalay,28,38,3,9,keywords,styles
Miss Mary Of Sweden,32,54,1,9,keywords,styles
Miss Vivienne Lingerie,28,38,4,7,keywords,styles
Missguided,30,36,1,5,keywords,styles
Mitas,30,40,3,8,keywords,styles
Mitex,30,40,2,9,keywords,styles
Mix&co,36,44,3,4,keywords,styles
Mode Marie,32,42,0,8,keywords,styles
Modern Movement,30,42,1,8,keywords,styles
Montelle,30,42,1,7,keywords,styles
